City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Longyearbyen,SJ,2021-06-07 04:25:11,78.2186,15.6401,35.44,80,75,2.3
67,Poum,NC,2021-06-07 04:25:11,-20.2333,164.0167,73.62,62,99,16.02
68,Port Alfred,ZA,2021-06-07 04:21:34,-33.5906,26.891,62.11,36,0,8.59
69,Vila Velha,BR,2021-06-07 04:25:12,-20.3297,-40.2925,69.94,97,0,1.99
70,Rikitea,PF,2021-06-07 04:20:39,-23.1203,-134.9692,76.53,85,100,15.95
71,Huarmey,PE,2021-06-07 04:23:47,-10.0681,-78.1522,64.69,85,88,6.4
72,Axim,GH,2021-06-07 04:25:12,4.8699,-2.2405,78.3,86,30,7.38
73,Tecoanapa,MX,2021-06-07 04:25:13,16.5167,-98.75,83.16,79,94,8.66
74,Lakes Entrance,AU,2021-06-07 04:25:13,-37.8811,147.981,62.19,51,88,13.62
75,Kisesa,TZ,2021-06-07 04:25:13,-3.0833,34.15,58.46,79,3,6.4
76,Homer,US,2021-06-07 04:25:13,59.6425,-151.5483,59.77,60,1,11.5
77,Barrow,US,2021-06-07 04:25:14,71.2906,-156.7887,32.02,86,90,13.8
78,Lebu,CL,2021-06-07 04:22:24,-37.6167,-73.65,47.43,82,98,7.61
79,La Ronge,CA,2021-06-07 04:25:14,55.1001,-105.2842,53.85,71,75,0.0
80,Quila,MX,2021-06-07 04:25:15,24.4228,-107.22,84.31,65,42,2.19
81,Ostrovnoy,RU,2021-06-07 04:25:10,68.0531,39.5131,39.94,72,32,5.48
82,Broome,US,2021-06-07 04:21:48,42.2506,-75.833,72.54,78,53,2.98
83,Bocos,PH,2021-06-07 04:25:15,16.9265,121.0573,76.6,75,100,2.84
84,Hualmay,PE,2021-06-07 04:25:15,-11.0964,-77.6139,63.0,86,35,5.91
85,Kalmar,SE,2021-06-07 04:25:16,56.6616,16.3616,59.97,88,0,3.44
86,Castro,BR,2021-06-07 04:25:16,-24.7911,-50.0119,57.02,92,100,6.26
87,Chupa,RU,2021-06-07 04:25:16,66.27,33.0549,50.52,52,12,5.39
88,Los Llanos De Aridane,ES,2021-06-07 04:25:17,28.6585,-17.9182,64.15,82,90,12.1
89,Carnarvon,AU,2021-06-07 04:21:36,-24.8667,113.6333,77.07,47,100,10.36
90,Freeport,US,2021-06-07 04:23:53,40.6576,-73.5832,83.39,76,1,1.01
91,Meulaboh,ID,2021-06-07 04:25:17,4.1363,96.1285,83.07,66,100,6.73
